index 888 pairs:['0000102', '403', '0000156', '152']
index 1093 pairs:['0000107', '131', '0000335', '294']
index 1686 pairs:['0000133', '122', '0000210', '529']
index 2793 pairs:['0000147', '344', '0000233', '384']
index 3614 pairs:['0000159', '372', '0000280', '30']
index 4459 pairs:['0000168', '417', '0000332', '251']
index 5350 pairs:['0000174', '178', '0000299', '42']
index 5957 pairs:['0000189', '205', '0000335', '257']
index 6135 pairs:['0000192', '173', '0000260', '140']
index 6169 pairs:['0000192', '188', '0000295', '432']
index 7402 pairs:['0000204', '475', '0000310', '31']
index 7888 pairs:['0000207', '279', '0000335', '260']
index 8042 pairs:['0000208', '61', '0000210', '472']
index 8043 pairs:['0000208', '61', '0000210', '480']
index 8707 pairs:['0000210', '509', '0000333', '265']
index 9559 pairs:['0000233', '375', '0000342', '92']
