index:27 pairs:['0000099', '210', '214']
index:32 pairs:['0000099', '212', '241']
index:38 pairs:['0000099', '214', '223']
index:42 pairs:['0000099', '216', '241']
index:45 pairs:['0000099', '219', '227']
index:46 pairs:['0000099', '219', '236']
index:47 pairs:['0000099', '219', '240']
index:48 pairs:['0000099', '219', '240']
index:49 pairs:['0000099', '219', '244']
index:52 pairs:['0000099', '221', '236']
index:60 pairs:['0000099', '223', '236']
index:66 pairs:['0000099', '225', '236']
index:90 pairs:['0000099', '237', '241']
index:95 pairs:['0000099', '241', '249']
index:332 pairs:['0000100', '59', '67']
index:439 pairs:['0000102', '342', '344']
index:446 pairs:['0000102', '344', '369']
index:447 pairs:['0000102', '344', '371']
index:448 pairs:['0000102', '344', '381']
index:452 pairs:['0000102', '346', '370']
index:470 pairs:['0000102', '351', '370']
index:546 pairs:['0000102', '370', '398']
index:996 pairs:['0000107', '118', '131']
index:1001 pairs:['0000107', '125', '135']
index:1009 pairs:['0000107', '131', '133']
index:1010 pairs:['0000107', '135', '140']
index:1373 pairs:['0000117', '129', '148']
index:1374 pairs:['0000117', '129', '157']
index:1375 pairs:['0000117', '129', '158']
index:1376 pairs:['0000117', '129', '160']
index:1526 pairs:['0000119', '85', '93']
index:1527 pairs:['0000119', '85', '102']
index:1648 pairs:['0000133', '126', '135']
index:1652 pairs:['0000133', '132', '138']
index:1827 pairs:['0000141', '331', '338']
index:1828 pairs:['0000141', '331', '341']
index:1829 pairs:['0000141', '331', '343']
index:1830 pairs:['0000141', '331', '362']
index:1831 pairs:['0000141', '331', '375']
index:1832 pairs:['0000141', '331', '377']
index:1833 pairs:['0000141', '331', '395']
index:1834 pairs:['0000141', '331', '401']
index:1875 pairs:['0000141', '341', '396']
index:1920 pairs:['0000141', '351', '396']
index:1956 pairs:['0000141', '363', '396']
index:1967 pairs:['0000141', '365', '396']
index:1992 pairs:['0000141', '374', '396']
index:2003 pairs:['0000141', '380', '396']
index:2007 pairs:['0000141', '382', '396']
index:2023 pairs:['0000141', '396', '400']
index:2024 pairs:['0000141', '396', '404']
index:2340 pairs:['0000144', '79', '84']
index:2341 pairs:['0000144', '79', '85']
index:2347 pairs:['0000144', '84', '93']
index:2507 pairs:['0000147', '332', '398']
index:2634 pairs:['0000147', '359', '398']
index:2652 pairs:['0000147', '365', '398']
index:2720 pairs:['0000147', '390', '398']
index:2722 pairs:['0000147', '393', '398']
index:3160 pairs:['0000157', '50', '58']
index:3207 pairs:['0000159', '330', '373']
